Date,Away Team,Away Score,Home Team,Home Score
2018-08-23,reinhardt,21,bethel tn,31
2018-08-23,dakota st,27,dakota wesleyan,18
2018-08-23,sw assem of god,9,evangel,28
2018-08-23,keiser,24,pikeville,17
2018-08-23,carroll mt,0,rocky mountain,19
2018-08-23,cincinnati christian u.,7,union ky,46
2018-08-25,point u.,5,ave maria,17
2018-08-25,bethany ks,7,benedictine ks,75
2018-08-25,cumberland tn,14,bluefield va,26
2018-08-25,waldorf,13,briar cliff,40
2018-08-25,faulkner,16,campbellsville,10
2018-08-25,hawai`i,43,colorado st,34
2018-08-25,coll of idaho,21,eastern oregon,24
2018-08-25,st andrews,15,edward waters,13
2018-08-25,doane,57,friends,3
2018-08-25,warner u.,0,georgetown ky,49
2018-08-25,peru st,21,hastings,25
2018-08-25,north carolina a&t,20,jacksonville st,17
2018-08-25,valley city st,26,jamestown,28
2018-08-25,webber int'l,48,kentucky christian,14
2018-08-25,st xavier,7,marian in,52
2018-08-25,duquesne,15,massachusetts,63
2018-08-25,midamerica nazarene,28,midland u.,49
2018-08-25,lyon,22,missouri baptist,9
2018-08-25,mayville st,20,montana st-northern,49
2018-08-25,william penn,21,morningside,49
2018-08-25,wyoming,29,new mexico st,7
2018-08-25,prairie view a&m,28,rice,31
2018-08-25,cumberlands ky,27,southeastern fl,26
2018-08-25,graceland,14,southwestern ks,76
2018-08-25,robert morris il,9,st francis in,42
2018-08-25,culver-stockton,56,trinity bible,0
2018-08-25,presentation,46,trinity int'l,53
2018-08-30,savannah st,0,alabama-birmingham,52
2018-08-30,indiana pa,21,ashland,17
2018-08-30,alma,21,baldwin wallace,63
2018-08-30,central conn st,6,ball st,42
2018-08-30,millsaps,18,belhaven,3
2018-08-30,northern st sd,17,bemidji st,38
2018-08-30,west chester,44,bentley,6
2018-08-30,lagrange,28,birmingham-southern,34
2018-08-30,hamline,27,buena vista,39
2018-08-30,chowan,26,campbell,49
2018-08-30,west virginia st,31,charleston wv,35
2018-08-30,tennessee tech,10,chattanooga,34
2018-08-30,u of new england,7,coast guard,33
2018-08-30,central florida,56,connecticut,17
2018-08-30,rhode island,21,delaware,19
2018-08-30,oklahoma baptist,27,east central ok,26
2018-08-30,uw-platteville,59,east texas baptist,44
2018-08-30,morehead st,23,eastern kentucky,49
2018-08-30,east stroudsburg,17,ferris st,49
2018-08-30,central missouri,16,fort hays st,20
2018-08-30,southern conn st,35,gannon,32
2018-08-30,kennesaw st,20,georgia st,24
2018-08-30,indianapolis,7,grand valley st,30
2018-08-30,harding,41,henderson st,17
2018-08-30,quincy,0,indiana st,49
