Outs,Start_Bases,RE
0,1st,0.9135615251299827
0,1st and 2nd,1.525235243798118
0,1st and 3rd,1.7916137229987295
0,2nd,1.1920054663477964
0,2nd and 3rd,2.0537974683544302
0,3rd,1.412037037037037
0,Bases Loaded,2.2268370607028753
0,None on,0.529067070342066
1,1st,0.526185906224294
1,1st and 2nd,0.9534138526004436
1,1st and 3rd,1.2286729857819905
1,2nd,0.7183958151700087
1,2nd and 3rd,1.497134670487106
1,3rd,0.9930247305009512
1,Bases Loaded,1.6532097948378557
1,None on,0.2790626902008521
2,1st,0.2317413120237874
2,1st and 2nd,0.4535541195476575
2,1st and 3rd,0.4872495446265938
2,2nd,0.33098228109409944
2,2nd and 3rd,0.5675512665862484
2,3rd,0.36939417781274586
2,Bases Loaded,0.8219805380652547
2,None on,0.11142531549402777
